Repository,Component Type,Ecosystem,Name,Version,Dependency Scope,Relationship,License,PURL or Reference,Metadata Source,Notes
workspace,library,npm,@emnapi/runtime,1.9.0,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40emnapi/runtime@1.9.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@emnapi/wasi-threads,1.2.0,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40emnapi/wasi-threads@1.2.0,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/aix-ppc64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/aix-ppc64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/android-arm,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/android-arm@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/android-arm64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/android-arm64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/android-x64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/android-x64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/darwin-arm64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/darwin-arm64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/darwin-x64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/darwin-x64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/freebsd-arm64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/freebsd-arm64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/freebsd-x64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/freebsd-x64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/linux-arm,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/linux-arm@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/linux-arm64,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/linux-arm64@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
workspace,library,npm,@esbuild/linux-ia32,0.27.1,runtime,transitive runtime dependency,NOASSERTION,pkg:npm/%40esbuild/linux-ia32@0.27.1,workspace/pnpm-lock.yaml and installed package metadata,Generated from pnpm's resolved dependency graph and local package metadata.
